year,mt,dt,day,city_code,city_do_nm,city_gn_gu_nm,dscamt,dscamt_rate,dis_co,dis_co_rate
2020,09,01,3,W01,서울특별시,종로구,4023100,3.49,3400,3.65
2020,09,02,4,W01,서울특별시,종로구,3261150,2.83,2802,3.01
2020,09,03,5,W01,서울특별시,종로구,3862650,3.35,3166,3.4
2020,09,04,6,W01,서울특별시,종로구,3770350,3.27,3108,3.34
2020,09,05,7,W01,서울특별시,종로구,3950800,3.43,3111,3.34
2020,09,06,1,W01,서울특별시,종로구,4483700,3.89,3423,3.68
2020,09,07,2,W01,서울특별시,종로구,3235650,2.81,2551,2.74
2020,09,08,3,W01,서울특별시,종로구,4634700,4.03,3697,3.97
2020,09,09,4,W01,서울특별시,종로구,3450050,3.0,2934,3.15
2020,09,10,5,W01,서울특별시,종로구,3471400,3.02,3018,3.24
2020,09,11,6,W01,서울특별시,종로구,3419500,2.97,2877,3.09
2020,09,12,7,W01,서울특별시,종로구,3678900,3.2,2993,3.21
2020,09,13,1,W01,서울특별시,종로구,4373800,3.8,3369,3.62
2020,09,14,2,W01,서울특별시,종로구,3904500,3.39,3151,3.38
2020,09,15,3,W01,서울특별시,종로구,3625650,3.15,3098,3.33
2020,09,16,4,W01,서울특별시,종로구,3498850,3.04,2960,3.18
2020,09,17,5,W01,서울특별시,종로구,3410250,2.96,2887,3.1
2020,09,18,6,W01,서울특별시,종로구,3362600,2.92,2874,3.09
2020,09,19,7,W01,서울특별시,종로구,3564400,3.1,2883,3.1
2020,09,20,1,W01,서울특별시,종로구,4261800,3.7,3275,3.52
2020,09,21,2,W01,서울특별시,종로구,3842150,3.34,3115,3.34
2020,09,22,3,W01,서울특별시,종로구,3694350,3.21,3008,3.23
2020,09,23,4,W01,서울특별시,종로구,3342250,2.9,2877,3.09
2020,09,24,5,W01,서울특별시,종로구,3453000,3.0,2761,2.96
2020,09,25,6,W01,서울특별시,종로구,3471650,3.02,2834,3.04
2020,09,26,7,W01,서울특별시,종로구,3885850,3.38,3014,3.24
2020,09,27,1,W01,서울특별시,종로구,4545300,3.95,3412,3.66
2020,09,28,2,W01,서울특별시,종로구,4290650,3.73,3356,3.6
2020,09,29,3,W01,서울특별시,종로구,4620750,4.01,3682,3.95
2020,09,30,4,W01,서울특별시,종로구,4742750,4.12,3489,3.75
2020,09,01,3,W02,서울특별시,중구,6188100,3.18,5977,3.39
2020,09,02,4,W02,서울특별시,중구,5656650,2.91,5220,2.96
2020,09,03,5,W02,서울특별시,중구,6732450,3.46,6124,3.47
2020,09,04,6,W02,서울특별시,중구,6220100,3.19,5919,3.35
2020,09,05,7,W02,서울특별시,중구,6833450,3.51,6085,3.45
2020,09,06,1,W02,서울특별시,중구,7787150,4.0,6859,3.89
2020,09,07,2,W02,서울특별시,중구,5487600,2.82,4830,2.74
2020,09,08,3,W02,서울특별시,중구,6905300,3.55,6376,3.61
2020,09,09,4,W02,서울특별시,중구,6050500,3.11,5640,3.2
2020,09,10,5,W02,서울특별시,중구,5971750,3.07,5741,3.25
2020,09,11,6,W02,서울특별시,중구,5408700,2.78,5330,3.02
2020,09,12,7,W02,서울특별시,중구,6499900,3.34,5810,3.29
2020,09,13,1,W02,서울특별시,중구,8246050,4.24,7192,4.07
2020,09,14,2,W02,서울특별시,중구,6517400,3.35,5964,3.38
2020,09,15,3,W02,서울특별시,중구,5691750,2.92,5462,3.09
2020,09,16,4,W02,서울특별시,중구,5763900,2.96,5509,3.12
2020,09,17,5,W02,서울특별시,중구,5543750,2.85,5366,3.04
2020,09,18,6,W02,서울특별시,중구,5704850,2.93,5444,3.08
2020,09,19,7,W02,서울특별시,중구,6090450,3.13,5524,3.13
2020,09,20,1,W02,서울특별시,중구,7879150,4.05,6852,3.88
2020,09,21,2,W02,서울특별시,중구,6170150,3.17,5809,3.29
2020,09,22,3,W02,서울특별시,중구,5732200,2.94,5328,3.02
2020,09,23,4,W02,서울특별시,중구,5891100,3.03,5497,3.11
2020,09,24,5,W02,서울특별시,중구,5785950,2.97,5287,3.0
2020,09,25,6,W02,서울특별시,중구,5730150,2.94,5373,3.04
2020,09,26,7,W02,서울특별시,중구,6519650,3.35,5611,3.18
2020,09,27,1,W02,서울특별시,중구,8463850,4.35,7007,3.97
2020,09,28,2,W02,서울특별시,중구,6906150,3.55,6035,3.42
2020,09,29,3,W02,서울특별시,중구,7534500,3.87,6472,3.67
2020,09,30,4,W02,서울특별시,중구,8770400,4.5,6874,3.89
2020,09,01,3,W03,서울특별시,용산구,580800,3.34,559,3.63
2020,09,02,4,W03,서울특별시,용산구,539800,3.11,467,3.03
2020,09,03,5,W03,서울특별시,용산구,651150,3.75,573,3.72
2020,09,04,6,W03,서울특별시,용산구,523600,3.01,494,3.2
2020,09,05,7,W03,서울특별시,용산구,657850,3.79,554,3.59
2020,09,06,1,W03,서울특별시,용산구,576700,3.32,542,3.52
2020,09,07,2,W03,서울특별시,용산구,540200,3.11,463,3.0
2020,09,08,3,W03,서울특별시,용산구,670100,3.86,585,3.79
2020,09,09,4,W03,서울특별시,용산구,492450,2.83,478,3.1
2020,09,10,5,W03,서울특별시,용산구,637250,3.67,538,3.49
2020,09,11,6,W03,서울특별시,용산구,509500,2.93,470,3.05
2020,09,12,7,W03,서울특별시,용산구,531850,3.06,487,3.16
2020,09,13,1,W03,서울특별시,용산구,702700,4.04,579,3.76
2020,09,14,2,W03,서울특별시,용산구,623000,3.59,526,3.41
2020,09,15,3,W03,서울특별시,용산구,534450,3.08,520,3.37
2020,09,16,4,W03,서울특별시,용산구,501850,2.89,478,3.1
2020,09,17,5,W03,서울특별시,용산구,568000,3.27,513,3.33
2020,09,18,6,W03,서울특별시,용산구,493800,2.84,458,2.97
2020,09,19,7,W03,서울특별시,용산구,521000,3.0,472,3.06
2020,09,20,1,W03,서울특별시,용산구,619800,3.57,542,3.52
2020,09,21,2,W03,서울특별시,용산구,595800,3.43,502,3.26
2020,09,22,3,W03,서울특별시,용산구,474700,2.73,470,3.05
2020,09,23,4,W03,서울특별시,용산구,481900,2.77,462,3.0
2020,09,24,5,W03,서울특별시,용산구,531500,3.06,499,3.24
2020,09,25,6,W03,서울특별시,용산구,525150,3.02,459,2.98
2020,09,26,7,W03,서울특별시,용산구,597950,3.44,483,3.13
2020,09,27,1,W03,서울특별시,용산구,697300,4.01,576,3.74
2020,09,28,2,W03,서울특별시,용산구,646300,3.72,540,3.5
2020,09,29,3,W03,서울특별시,용산구,629750,3.62,550,3.57
2020,09,30,4,W03,서울특별시,용산구,718750,4.14,580,3.76
2020,09,01,3,W04,서울특별시,성동구,15773850,3.12,13828,3.26
2020,09,02,4,W04,서울특별시,성동구,14251500,2.82,12644,2.98
2020,09,03,5,W04,서울특별시,성동구,18077350,3.58,15366,3.62
2020,09,04,6,W04,서울특별시,성동구,16483000,3.26,14431,3.4
2020,09,05,7,W04,서울특별시,성동구,16177250,3.2,13768,3.24
2020,09,06,1,W04,서울특별시,성동구,20661450,4.09,16623,3.92
2020,09,07,2,W04,서울특별시,성동구,14719600,2.92,11852,2.79
2020,09,08,3,W04,서울특별시,성동구,18804300,3.72,15816,3.73
2020,09,09,4,W04,서울특별시,성동구,15740100,3.12,13874,3.27
2020,09,10,5,W04,서울특별시,성동구,16271950,3.22,14304,3.37
2020,09,11,6,W04,서울특별시,성동구,14790300,2.93,12885,3.04
2020,09,12,7,W04,서울특별시,성동구,15659850,3.1,12980,3.06
2020,09,13,1,W04,서울특별시,성동구,21454800,4.25,17210,4.05
2020,09,14,2,W04,서울특별시,성동구,16802600,3.33,14165,3.34
2020,09,15,3,W04,서울특별시,성동구,15297200,3.03,13617,3.21
2020,09,16,4,W04,서울특별시,성동구,15175600,3.01,13643,3.21
2020,09,17,5,W04,서울특별시,성동구,15173200,3.0,13612,3.21
2020,09,18,6,W04,서울특별시,성동구,14807900,2.93,13077,3.08
2020,09,19,7,W04,서울특별시,성동구,15403650,3.05,12771,3.01
2020,09,20,1,W04,서울특별시,성동구,20352550,4.03,16242,3.83
2020,09,21,2,W04,서울특별시,성동구,16730750,3.31,14030,3.31
2020,09,22,3,W04,서울특별시,성동구,15043700,2.98,13062,3.08
2020,09,23,4,W04,서울특별시,성동구,15289450,3.03,13329,3.14
2020,09,24,5,W04,서울특별시,성동구,15249350,3.02,13106,3.09
2020,09,25,6,W04,서울특별시,성동구,15355950,3.04,13071,3.08
2020,09,26,7,W04,서울특별시,성동구,16039700,3.18,12833,3.02
2020,09,27,1,W04,서울특별시,성동구,21307850,4.22,16583,3.91
2020,09,28,2,W04,서울특별시,성동구,18336400,3.63,14581,3.44
2020,09,29,3,W04,서울특별시,성동구,19703650,3.9,15965,3.76
2020,09,30,4,W04,서울특별시,성동구,20008800,3.96,15195,3.58
2020,09,01,3,W05,서울특별시,광진구,10285550,3.41,8792,3.59
2020,09,02,4,W05,서울특별시,광진구,8702900,2.88,7252,2.96
2020,09,03,5,W05,서울특별시,광진구,10792500,3.57,8990,3.67
2020,09,04,6,W05,서울특별시,광진구,9638750,3.19,8169,3.33
2020,09,05,7,W05,서울특별시,광진구,10131600,3.35,8182,3.34
2020,09,06,1,W05,서울특별시,광진구,10893000,3.61,8609,3.51
2020,09,07,2,W05,서울특별시,광진구,9607450,3.18,7191,2.93
2020,09,08,3,W05,서울특별시,광진구,11620649,3.85,9511,3.88
2020,09,09,4,W05,서울특별시,광진구,9459200,3.13,7928,3.23
2020,09,10,5,W05,서울특별시,광진구,9488150,3.14,8238,3.36
2020,09,11,6,W05,서울특별시,광진구,8551850,2.83,7470,3.05
2020,09,12,7,W05,서울특별시,광진구,9270900,3.07,7361,3.0
2020,09,13,1,W05,서울특별시,광진구,11930500,3.95,9164,3.74
2020,09,14,2,W05,서울특별시,광진구,10230100,3.39,8367,3.41
2020,09,15,3,W05,서울특별시,광진구,9477400,3.14,8210,3.35
2020,09,16,4,W05,서울특별시,광진구,9032300,2.99,7817,3.19
2020,09,17,5,W05,서울특별시,광진구,9206300,3.05,7889,3.22
2020,09,18,6,W05,서울특별시,광진구,8814800,2.92,7437,3.03
2020,09,19,7,W05,서울특별시,광진구,9250700,3.06,7501,3.06
2020,09,20,1,W05,서울특별시,광진구,11319850,3.75,8775,3.58
2020,09,21,2,W05,서울특별시,광진구,9958040,3.3,8064,3.29
2020,09,22,3,W05,서울특별시,광진구,9275550,3.07,7923,3.23
2020,09,23,4,W05,서울특별시,광진구,8702450,2.88,7550,3.08
2020,09,24,5,W05,서울특별시,광진구,9384900,3.11,7775,3.17
2020,09,25,6,W05,서울특별시,광진구,9110550,3.02,7492,3.06
2020,09,26,7,W05,서울특별시,광진구,9978550,3.3,7635,3.11
2020,09,27,1,W05,서울특별시,광진구,11933200,3.95,8777,3.58
2020,09,28,2,W05,서울특별시,광진구,11105400,3.68,8506,3.47
2020,09,29,3,W05,서울특별시,광진구,11622949,3.85,8970,3.66
2020,09,30,4,W05,서울특별시,광진구,13277600,4.4,9671,3.94
2020,09,01,3,W06,서울특별시,동대문구,14454964,3.17,12592,3.33
2020,09,02,4,W06,서울특별시,동대문구,12977596,2.85,11268,2.98
2020,09,03,5,W06,서울특별시,동대문구,15661505,3.43,13257,3.51
2020,09,04,6,W06,서울특별시,동대문구,14022354,3.07,12420,3.29
2020,09,05,7,W06,서울특별시,동대문구,15223686,3.34,12499,3.31
2020,09,06,1,W06,서울특별시,동대문구,18429953,4.04,14471,3.83
2020,09,07,2,W06,서울특별시,동대문구,12711530,2.79,10284,2.72
2020,09,08,3,W06,서울특별시,동대문구,16648246,3.65,13872,3.67
2020,09,09,4,W06,서울특별시,동대문구,14021699,3.07,12323,3.26
2020,09,10,5,W06,서울특별시,동대문구,14364532,3.15,12557,3.32
2020,09,11,6,W06,서울특별시,동대문구,12922923,2.83,11381,3.01
2020,09,12,7,W06,서울특별시,동대문구,14430087,3.16,11715,3.1
2020,09,13,1,W06,서울특별시,동대문구,18967370,4.16,14927,3.95
2020,09,14,2,W06,서울특별시,동대문구,14672222,3.22,12407,3.28
2020,09,15,3,W06,서울특별시,동대문구,13661406,3.0,11949,3.16
2020,09,16,4,W06,서울특별시,동대문구,13703862,3.0,12168,3.22
2020,09,17,5,W06,서울특별시,동대문구,13912907,3.05,12118,3.21
2020,09,18,6,W06,서울특별시,동대문구,12862715,2.82,11320,2.99
2020,09,19,7,W06,서울특별시,동대문구,13857947,3.04,11334,3.0
2020,09,20,1,W06,서울특별시,동대문구,18212309,3.99,14336,3.79
2020,09,21,2,W06,서울특별시,동대문구,14304857,3.14,12088,3.2
2020,09,22,3,W06,서울특별시,동대문구,13261607,2.91,11428,3.02
2020,09,23,4,W06,서울특별시,동대문구,13921045,3.05,11975,3.17
2020,09,24,5,W06,서울특별시,동대문구,13655715,2.99,11749,3.11
2020,09,25,6,W06,서울특별시,동대문구,13285978,2.91,11424,3.02
2020,09,26,7,W06,서울특별시,동대문구,14960179,3.28,11735,3.1
2020,09,27,1,W06,서울특별시,동대문구,20196827,4.43,14989,3.97
2020,09,28,2,W06,서울특별시,동대문구,15925870,3.49,12595,3.33
2020,09,29,3,W06,서울특별시,동대문구,18363300,4.03,14355,3.8
2020,09,30,4,W06,서울특별시,동대문구,22516809,4.94,16486,4.36
2020,09,01,3,W07,서울특별시,중랑구,18772100,3.3,16167,3.48
2020,09,02,4,W07,서울특별시,중랑구,16104550,2.83,13661,2.94
2020,09,03,5,W07,서울특별시,중랑구,19349100,3.4,16226,3.5
2020,09,04,6,W07,서울특별시,중랑구,18041100,3.17,15418,3.32
2020,09,05,7,W07,서울특별시,중랑구,19011600,3.34,15439,3.33
2020,09,06,1,W07,서울특별시,중랑구,22046100,3.87,17486,3.77
2020,09,07,2,W07,서울특별시,중랑구,16816900,2.95,13121,2.83
2020,09,08,3,W07,서울특별시,중랑구,20040600,3.52,16689,3.6
2020,09,09,4,W07,서울특별시,중랑구,17221100,3.02,14766,3.18
2020,09,10,5,W07,서울특별시,중랑구,17652200,3.1,15160,3.27
2020,09,11,6,W07,서울특별시,중랑구,16007500,2.81,13969,3.01
2020,09,12,7,W07,서울특별시,중랑구,18018450,3.16,14480,3.12
2020,09,13,1,W07,서울특별시,중랑구,23112150,4.06,18024,3.88
2020,09,14,2,W07,서울특별시,중랑구,18396450,3.23,15448,3.33
2020,09,15,3,W07,서울특별시,중랑구,16904100,2.97,14722,3.17
2020,09,16,4,W07,서울특별시,중랑구,16602400,2.92,14310,3.08
2020,09,17,5,W07,서울특별시,중랑구,16716400,2.94,14489,3.12
2020,09,18,6,W07,서울특별시,중랑구,16045300,2.82,14027,3.02
2020,09,19,7,W07,서울특별시,중랑구,18177200,3.19,14613,3.15
2020,09,20,1,W07,서울특별시,중랑구,22420300,3.94,17485,3.77
2020,09,21,2,W07,서울특별시,중랑구,18412900,3.23,15125,3.26
2020,09,22,3,W07,서울특별시,중랑구,16756150,2.94,14200,3.06
2020,09,23,4,W07,서울특별시,중랑구,17180000,3.02,14351,3.09
2020,09,24,5,W07,서울특별시,중랑구,17027250,2.99,14173,3.05
2020,09,25,6,W07,서울특별시,중랑구,16589100,2.91,13857,2.99
2020,09,26,7,W07,서울특별시,중랑구,19343150,3.4,14883,3.21
2020,09,27,1,W07,서울특별시,중랑구,24968150,4.38,18300,3.94
2020,09,28,2,W07,서울특별시,중랑구,20740550,3.64,15814,3.41
2020,09,29,3,W07,서울특별시,중랑구,22414400,3.94,17221,3.71
2020,09,30,4,W07,서울특별시,중랑구,28604300,5.02,20366,4.39
2020,09,01,3,W08,서울특별시,성북구,11291600,3.42,9810,3.57
2020,09,02,4,W08,서울특별시,성북구,9368830,2.84,8284,3.01
2020,09,03,5,W08,서울특별시,성북구,11329780,3.43,9616,3.49
2020,09,04,6,W08,서울특별시,성북구,10751050,3.26,9374,3.41
2020,09,05,7,W08,서울특별시,성북구,10834250,3.28,8978,3.26
2020,09,06,1,W08,서울특별시,성북구,12641030,3.83,10042,3.65
2020,09,07,2,W08,서울특별시,성북구,9546830,2.89,7577,2.75
2020,09,08,3,W08,서울특별시,성북구,12618790,3.82,10544,3.83
2020,09,09,4,W08,서울특별시,성북구,10482450,3.18,9073,3.3
2020,09,10,5,W08,서울특별시,성북구,10166110,3.08,9075,3.3
2020,09,11,6,W08,서울특별시,성북구,9434340,2.86,8473,3.08
2020,09,12,7,W08,서울특별시,성북구,10455890,3.17,8636,3.14
2020,09,13,1,W08,서울특별시,성북구,13290120,4.03,10452,3.8
2020,09,14,2,W08,서울특별시,성북구,11167680,3.38,9529,3.46
2020,09,15,3,W08,서울특별시,성북구,9948700,3.02,8838,3.21
2020,09,16,4,W08,서울특별시,성북구,9880650,2.99,8772,3.19
2020,09,17,5,W08,서울특별시,성북구,9798590,2.97,8698,3.16
