year,mt,dt,day,city_code,city_do_nm,city_gn_gu_nm,dscamt,dscamt_rate,dis_co,dis_co_rate
2021,03,01,2,W01,서울특별시,종로구,3586400,3.23,2329,2.93
2021,03,02,3,W01,서울특별시,종로구,4469250,4.03,3016,3.8
2021,03,03,4,W01,서울특별시,종로구,3752600,3.38,2505,3.15
2021,03,04,5,W01,서울특별시,종로구,3412400,3.08,2412,3.04
2021,03,05,6,W01,서울특별시,종로구,3377800,3.04,2474,3.11
2021,03,06,7,W01,서울특별시,종로구,3168200,2.86,2309,2.91
2021,03,07,1,W01,서울특별시,종로구,4340400,3.91,2931,3.69
2021,03,08,2,W01,서울특별시,종로구,4097550,3.69,2842,3.58
2021,03,09,3,W01,서울특별시,종로구,3487750,3.14,2510,3.16
2021,03,10,4,W01,서울특별시,종로구,3313950,2.99,2444,3.08
2021,03,11,5,W01,서울특별시,종로구,3177700,2.86,2368,2.98
2021,03,12,6,W01,서울특별시,종로구,3318450,2.99,2481,3.12
2021,03,13,7,W01,서울특별시,종로구,3467000,3.12,2441,3.07
2021,03,14,1,W01,서울특별시,종로구,4298250,3.87,2973,3.74
2021,03,15,2,W01,서울특별시,종로구,4033750,3.64,2803,3.53
2021,03,16,3,W01,서울특별시,종로구,3448450,3.11,2506,3.15
2021,03,17,4,W01,서울특별시,종로구,3387050,3.05,2548,3.21
2021,03,18,5,W01,서울특별시,종로구,3154750,2.84,2409,3.03
2021,03,19,6,W01,서울특별시,종로구,3261050,2.94,2503,3.15
2021,03,20,7,W01,서울특별시,종로구,3053400,2.75,2239,2.82
2021,03,21,1,W01,서울특별시,종로구,4241850,3.82,2948,3.71
2021,03,22,2,W01,서울특별시,종로구,3980200,3.59,2787,3.51
2021,03,23,3,W01,서울특별시,종로구,3634250,3.28,2589,3.26
2021,03,24,4,W01,서울특별시,종로구,3311450,2.98,2493,3.14
2021,03,25,5,W01,서울특별시,종로구,3246300,2.93,2406,3.03
2021,03,26,6,W01,서울특별시,종로구,3360900,3.03,2508,3.16
2021,03,27,7,W01,서울특별시,종로구,2897390,2.61,2094,2.64
