year,mt,dt,day,city_code,city_do_nm,city_gn_gu_nm,dscamt,dscamt_rate,dis_co,dis_co_rate
2021,01,01,6,W01,서울특별시,종로구,3623900,3.17,2444,3.17
2021,01,02,7,W01,서울특별시,종로구,3929600,3.44,2595,3.36
2021,01,03,1,W01,서울특별시,종로구,4197450,3.67,2757,3.57
2021,01,04,2,W01,서울특별시,종로구,4223150,3.69,2680,3.47
2021,01,05,3,W01,서울특별시,종로구,3748700,3.28,2598,3.36
2021,01,06,4,W01,서울특별시,종로구,3565600,3.12,2446,3.17
2021,01,07,5,W01,서울특별시,종로구,2801150,2.45,1984,2.57
2021,01,08,6,W01,서울특별시,종로구,3230800,2.82,2141,2.77
2021,01,09,7,W01,서울특별시,종로구,3435950,3.0,2294,2.97
2021,01,10,1,W01,서울특별시,종로구,4334700,3.79,2756,3.57
2021,01,11,2,W01,서울특별시,종로구,4107450,3.59,2696,3.49
2021,01,12,3,W01,서울특별시,종로구,3505400,3.06,2333,3.02
2021,01,13,4,W01,서울특별시,종로구,3754300,3.28,2523,3.27
2021,01,14,5,W01,서울특별시,종로구,3167050,2.77,2110,2.73
2021,01,15,6,W01,서울특별시,종로구,3570300,3.12,2490,3.23
2021,01,16,7,W01,서울특별시,종로구,3408950,2.98,2402,3.11
2021,01,17,1,W01,서울특별시,종로구,4291200,3.75,2844,3.68
2021,01,18,2,W01,서울특별시,종로구,3603250,3.15,2410,3.12
2021,01,19,3,W01,서울특별시,종로구,3746950,3.28,2570,3.33
2021,01,20,4,W01,서울특별시,종로구,3649500,3.19,2437,3.16
2021,01,21,5,W01,서울특별시,종로구,3087150,2.7,2155,2.79
2021,01,22,6,W01,서울특별시,종로구,3632150,3.18,2524,3.27
2021,01,23,7,W01,서울특별시,종로구,3748550,3.28,2505,3.24
2021,01,24,1,W01,서울특별시,종로구,4366850,3.82,2873,3.72
2021,01,25,2,W01,서울특별시,종로구,4225750,3.69,2759,3.57
2021,01,26,3,W01,서울특별시,종로구,3666200,3.2,2518,3.26
2021,01,27,4,W01,서울특별시,종로구,3700650,3.23,2558,3.31
2021,01,28,5,W01,서울특별시,종로구,3011000,2.63,2184,2.83
2021,01,29,6,W01,서울특별시,종로구,3237750,2.83,2319,3.0
2021,01,30,7,W01,서울특별시,종로구,3554500,3.11,2464,3.19
2021,01,31,1,W01,서울특별시,종로구,4271700,3.73,2839,3.68
2021,01,01,6,W02,서울특별시,중구,6283200,3.29,4389,3.09
2021,01,02,7,W02,서울특별시,중구,6971050,3.66,4884,3.44
2021,01,03,1,W02,서울특별시,중구,8542200,4.48,5925,4.17
2021,01,04,2,W02,서울특별시,중구,6494700,3.41,4811,3.39
2021,01,05,3,W02,서울특별시,중구,5480900,2.87,4289,3.02
2021,01,06,4,W02,서울특별시,중구,5568700,2.92,4329,3.05
2021,01,07,5,W02,서울특별시,중구,4638800,2.43,3571,2.51
2021,01,08,6,W02,서울특별시,중구,5089100,2.67,3830,2.7
2021,01,09,7,W02,서울특별시,중구,6121750,3.21,4380,3.08
2021,01,10,1,W02,서울특별시,중구,8474450,4.44,5796,4.08
2021,01,11,2,W02,서울특별시,중구,6376050,3.34,4599,3.24
