year,mt,dt,day,city_code,city_do_nm,city_gn_gu_nm,dscamt,dscamt_rate,dis_co,dis_co_rate
2020,10,01,5,W01,서울특별시,종로구,3917700,3.58,2705,3.22
2020,10,02,6,W01,서울특별시,종로구,3419200,3.13,2494,2.97
2020,10,03,7,W01,서울특별시,종로구,3216800,2.94,2399,2.85
2020,10,04,1,W01,서울특별시,종로구,4236600,3.87,2988,3.56
2020,10,05,2,W01,서울특별시,종로구,4039250,3.69,3024,3.6
2020,10,06,3,W01,서울특별시,종로구,3724450,3.4,2925,3.48
2020,10,07,4,W01,서울특별시,종로구,3266050,2.99,2720,3.24
2020,10,08,5,W01,서울특별시,종로구,3282950,3.0,2699,3.21
2020,10,09,6,W01,서울특별시,종로구,3655500,3.34,2839,3.38
2020,10,10,7,W01,서울특별시,종로구,3431550,3.14,2670,3.18
2020,10,11,1,W01,서울특별시,종로구,4286400,3.92,3173,3.78
2020,10,12,2,W01,서울특별시,종로구,3878950,3.55,2987,3.55
2020,10,13,3,W01,서울특별시,종로구,3430400,3.14,2803,3.33
2020,10,14,4,W01,서울특별시,종로구,3157300,2.89,2617,3.11
2020,10,15,5,W01,서울특별시,종로구,3344150,3.06,2635,3.14
2020,10,16,6,W01,서울특별시,종로구,3255850,2.98,2570,3.06
2020,10,17,7,W01,서울특별시,종로구,3358950,3.07,2532,3.01
2020,10,18,1,W01,서울특별시,종로구,4109400,3.76,3016,3.59
2020,10,19,2,W01,서울특별시,종로구,3811200,3.48,2894,3.44
2020,10,20,3,W01,서울특별시,종로구,3295550,3.01,2719,3.24
2020,10,21,4,W01,서울특별시,종로구,3256400,2.98,2566,3.05
2020,10,22,5,W01,서울특별시,종로구,3160250,2.89,2514,2.99
2020,10,23,6,W01,서울특별시,종로구,3051950,2.79,2415,2.87
2020,10,24,7,W01,서울특별시,종로구,3134250,2.86,2447,2.91
2020,10,25,1,W01,서울특별시,종로구,4159100,3.8,3013,3.58
2020,10,26,2,W01,서울특별시,종로구,3956050,3.62,2888,3.44
2020,10,27,3,W01,서울특별시,종로구,3435300,3.14,2693,3.2
2020,10,28,4,W01,서울특별시,종로구,3158500,2.89,2559,3.04
2020,10,29,5,W01,서울특별시,종로구,3255600,2.98,2484,2.96
2020,10,30,6,W01,서울특별시,종로구,3151400,2.88,2542,3.02
2020,10,31,7,W01,서울특별시,종로구,3564750,3.26,2519,3.0
2020,10,01,5,W02,서울특별시,중구,7442650,3.87,5573,3.45
2020,10,02,6,W02,서울특별시,중구,6647550,3.45,5101,3.15
2020,10,03,7,W02,서울특별시,중구,6746100,3.5,5220,3.23
2020,10,04,1,W02,서울특별시,중구,8196900,4.26,6603,4.08
2020,10,05,2,W02,서울특별시,중구,6676150,3.47,5609,3.47
2020,10,06,3,W02,서울특별시,중구,5743150,2.98,5069,3.13
2020,10,07,4,W02,서울특별시,중구,5914350,3.07,5210,3.22
