city_do_nm,date,dscamt
서울특별시,2020-07-05,588588577
서울특별시,2020-07-06,537433209
서울특별시,2020-07-07,478781299
서울특별시,2020-07-08,469760561
서울특별시,2020-07-09,463524493
서울특별시,2020-07-10,446150859
서울특별시,2020-07-11,506647398
서울특별시,2020-07-12,546919533
서울특별시,2020-07-13,465984776
서울특별시,2020-07-14,529361805
서울특별시,2020-07-15,476697855
서울특별시,2020-07-16,480507736
서울특별시,2020-07-17,480057983
서울특별시,2020-07-18,525015375
서울특별시,2020-07-19,588071060
서울특별시,2020-07-20,556202813
서울특별시,2020-07-21,506686096
서울특별시,2020-07-22,454273249
서울특별시,2020-07-23,361154111
서울특별시,2020-07-24,548848238
서울특별시,2020-07-25,527337410
서울특별시,2020-07-26,606772016
서울특별시,2020-07-27,539706213
서울특별시,2020-07-28,499412934
서울특별시,2020-07-29,442360938
서울특별시,2020-07-30,492962763
서울특별시,2020-07-31,470823845
서울특별시,2020-08-01,477452785
서울특별시,2020-08-02,530325492
서울특별시,2020-08-03,528416603
서울특별시,2020-08-04,529545727
서울특별시,2020-08-05,464622405
서울특별시,2020-08-06,473731097
서울특별시,2020-08-07,464886487
서울특별시,2020-08-08,453782799
서울특별시,2020-08-09,546533832
서울특별시,2020-08-10,520053483
서울특별시,2020-08-11,488372330
서울특별시,2020-08-12,459010616
서울특별시,2020-08-13,447337237
서울특별시,2020-08-14,447797343
서울특별시,2020-08-15,448978016
서울특별시,2020-08-16,513166064
서울특별시,2020-08-17,529077189
서울특별시,2020-08-18,538867688
서울특별시,2020-08-19,475036039
서울특별시,2020-08-20,457768508
서울특별시,2020-08-21,435092047
서울특별시,2020-08-22,440916634
서울특별시,2020-08-23,604098874
서울특별시,2020-08-24,511854492
서울특별시,2020-08-25,458815714
서울특별시,2020-08-26,450800231
서울특별시,2020-08-27,408038359
서울특별시,2020-08-28,428150119
서울특별시,2020-08-29,428298403
서울특별시,2020-08-30,567322179
서울특별시,2020-08-31,510405851
서울특별시,2020-09-01,456239247
서울특별시,2020-09-02,386041349
서울특별시,2020-09-03,462561792
서울특별시,2020-09-04,433631589
서울특별시,2020-09-05,451324742
서울특별시,2020-09-06,503561335
서울특별시,2020-09-07,400220056
서울특별시,2020-09-08,506077117
서울특별시,2020-09-09,412460829
서울특별시,2020-09-10,427021945
서울특별시,2020-09-11,391678834
서울특별시,2020-09-12,414769053
서울특별시,2020-09-13,529067089
서울특별시,2020-09-14,470365183
서울특별시,2020-09-15,424575973
서울특별시,2020-09-16,401341992
서울특별시,2020-09-17,410350828
서울특별시,2020-09-18,397986848
서울특별시,2020-09-19,430394459
서울특별시,2020-09-20,512453074
서울특별시,2020-09-21,461763042
서울특별시,2020-09-22,421128947
서울특별시,2020-09-23,408628152
서울특별시,2020-09-24,411693998
서울특별시,2020-09-25,410105734
서울특별시,2020-09-26,457879036
서울특별시,2020-09-27,552806954
서울특별시,2020-09-28,511124477
서울특별시,2020-09-29,541350150
서울특별시,2020-09-30,579475777
서울특별시,2020-10-01,462390755
서울특별시,2020-10-02,481747532
서울특별시,2020-10-03,427545660
서울특별시,2020-10-04,533244540
서울특별시,2020-10-05,503726825
서울특별시,2020-10-06,433548889
서울특별시,2020-10-07,414382725
서울특별시,2020-10-08,406820496
서울특별시,2020-10-09,405157779
서울특별시,2020-10-10,470945972
서울특별시,2020-10-11,530031641
서울특별시,2020-10-12,476223773
서울특별시,2020-10-13,421104361
서울특별시,2020-10-14,396359276
서울특별시,2020-10-15,402126664
서울특별시,2020-10-16,389773020
서울특별시,2020-10-17,428025415
서울특별시,2020-10-18,523708967
서울특별시,2020-10-19,474503766
서울특별시,2020-10-20,422982903
서울특별시,2020-10-21,401945448
서울특별시,2020-10-22,402667154
서울특별시,2020-10-23,385554582
서울특별시,2020-10-24,415167627
서울특별시,2020-10-25,522572321
서울특별시,2020-10-26,485221260
서울특별시,2020-10-27,424267655
서울특별시,2020-10-28,409625170
서울특별시,2020-10-29,408270136
서울특별시,2020-10-30,399117046
서울특별시,2020-10-31,430165283
서울특별시,2020-12-01,486680335
서울특별시,2020-12-02,474650382
